k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.09,188743,32,256,4096,32,188,259.159597,0.396059859435,-453.941611,-194.782014,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,189,260.495806,0.396059859435,-456.264844,-195.769038,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,190,261.832016,0.396059859435,-458.588124,-196.756108,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,191,263.168226,0.396059859435,-460.911451,-197.743225,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,192,264.504435,0.396059859435,-463.234823,-198.730388,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,193,265.840645,0.396059859435,-465.558242,-199.717597,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,194,267.176854,0.396059859435,-467.881707,-200.704852,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,195,268.513064,0.396059859435,-470.205217,-201.692153,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,196,269.849274,0.396059859435,-472.528773,-202.679499,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,197,271.185483,0.396059859435,-474.852374,-203.666891,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,198,272.521693,0.396059859435,-477.176020,-204.654327,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,199,273.857902,0.396059859435,-479.499710,-205.641808,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,200,275.194112,0.396059859435,-481.823445,-206.629333,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,201,276.530322,0.396059859435,-484.147224,-207.616903,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,202,277.866531,0.396059859435,-486.471047,-208.604516,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,203,279.202741,0.396059859435,-488.794913,-209.592172,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,204,280.538950,0.396059859435,-491.118821,-210.579871,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,205,281.875160,0.396059859435,-493.442773,-211.567613,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,206,283.211370,0.396059859435,-495.766766,-212.555397,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,207,284.547579,0.396059859435,-498.090802,-213.543223,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,208,285.883789,0.396059859435,-500.414879,-214.531090,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,209,287.219998,0.396059859435,-502.738997,-215.518999,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,210,288.556208,0.396059859435,-505.063156,-216.506948,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,211,289.892418,0.396059859435,-507.387356,-217.494939,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,212,291.228627,0.396059859435,-509.711596,-218.482969,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,213,292.564837,0.396059859435,-512.035876,-219.471039,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,214,293.901046,0.396059859435,-514.360195,-220.459148,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,215,295.237256,0.396059859435,-516.684553,-221.447297,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,216,296.573466,0.396059859435,-519.008950,-222.435484,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,217,297.909675,0.396059859435,-521.333385,-223.423710,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,218,299.245885,0.396059859435,-523.657859,-224.411974,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,219,300.582094,0.396059859435,-525.982370,-225.400276,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,220,301.918304,0.396059859435,-528.306919,-226.388615,-40.520728
